,player,team,pos,season,gp,mp,index,ftr,orb_pct,ast_vs_tov,usg_pct,pct_close_shots,pct_mid_range,pct_of_twos_assisted,pct_of_threes_corner,pct_of_threes_assisted,3par,cluster
126,Riquna Williams,LAS,G,2018,33,546,126,0.151,2.6,0.957,19.9,0.21100000000000002,0.145,0.515,0.125,0.979,0.643,4
127,A'ja Wilson,LVA,F,2018,33,1010,127,0.468,7.3,1.986,29.2,0.493,0.508,0.771,0.0,0.0,0.0,6
128,Tanisha Wright,MIN,G,2018,33,586,128,0.203,2.3,0.733,14.5,0.361,0.278,0.469,0.354,0.895,0.361,3
129,Tamera Young,LVA,F,2018,33,881,129,0.291,4.6,1.216,20.0,0.368,0.591,0.576,0.0,1.0,0.041,1
130,Amanda Zahui B.,NYL,C,2018,29,460,130,0.211,9.2,0.457,23.8,0.489,0.172,0.638,0.0,1.0,0.339,6
131,Cecilia Zandalasini,MIN,F,2018,29,478,131,0.168,1.5,0.654,18.1,0.147,0.44999999999999996,0.605,0.2,1.0,0.403,4
132,Shavonte Zellous,NYL,G,2018,22,531,132,0.409,1.3,1.504,17.3,0.369,0.43000000000000005,0.455,0.1,1.0,0.201,3
133,Alex Bentley,TOT,G,2018,35,745,133,0.142,1.5,1.784,23.7,0.133,0.483,0.225,0.134,0.564,0.384,5
134,Layshia Clarendon,TOT,G,2018,33,549,134,0.373,3.4,1.016,16.0,0.478,0.38,0.4,0.3,1.0,0.141,3
135,Tayler Hill,TOT,G,2018,20,235,135,0.167,1.5,0.805,20.3,0.25,0.21399999999999997,0.364,0.2,0.846,0.536,4
136,Cappie Pondexter,TOT,G,2018,30,545,136,0.202,1.4,1.78,22.7,0.26,0.605,0.311,0.2,0.818,0.135,4
137,Aerial Powers,TOT,G,2018,24,345,137,0.377,5.5,0.547,22.0,0.312,0.328,0.25,0.136,0.833,0.361,1
138,Mercedes Russell,TOT,C,2018,24,133,138,0.412,7.2,0.304,16.0,0.706,0.29400000000000004,0.688,0.0,0.0,0.0,2
139,Alex Bentley,CON,G,2018,19,413,139,0.165,2.8,1.613,23.6,0.137,0.483,0.294,0.13,0.619,0.379,5
140,Layshia Clarendon,ATL,G,2018,18,311,140,0.38,3.5,0.725,16.2,0.367,0.456,0.292,0.429,1.0,0.177,3
141,Tayler Hill,WAS,G,2018,13,117,141,0.308,1.0,0.834,21.7,0.20500000000000002,0.256,0.2,0.048,0.833,0.538,4
142,Cappie Pondexter,LAS,G,2018,13,134,142,0.442,1.8,1.625,19.6,0.372,0.5820000000000001,0.6,0.0,0.0,0.047,4
143,Aerial Powers,DAL,G,2018,15,231,143,0.415,5.6,0.449,22.5,0.34099999999999997,0.317,0.36,0.179,0.8,0.341,1
144,Alex Bentley,ATL,G,2018,16,332,144,0.114,0.0,1.979,23.9,0.127,0.483,0.132,0.138,0.5,0.389,5
145,Layshia Clarendon,CON,G,2018,15,238,145,0.365,3.3,1.503,15.8,0.619,0.28500000000000003,0.484,0.0,0.0,0.095,3
146,Tayler Hill,DAL,G,2018,7,118,146,0.044,2.0,0.784,18.9,0.28900000000000003,0.178,0.5,0.333,0.857,0.533,4
147,Cappie Pondexter,IND,G,2018,17,411,147,0.144,1.3,1.85,23.7,0.23299999999999998,0.611,0.237,0.214,0.818,0.156,5
148,Aerial Powers,WAS,G,2018,9,114,148,0.3,5.2,0.866,21.1,0.25,0.35000000000000003,0.0,0.063,0.857,0.4,1
149,Mercedes Russell,SEA,C,2018,22,101,149,0.323,9.5,0.207,18.6,0.742,0.258,0.667,0.0,0.0,0.0,1
150,Natalie Achonwa,IND,F,2019,30,636,150,0.325,9.0,1.207,18.5,0.5269999999999999,0.413,0.823,0.0,1.0,0.059,1
151,Rebecca Allen,NYL,G,2019,24,412,151,0.103,3.3,0.787,19.1,0.199,0.366,0.833,0.176,1.0,0.436,4
152,Ariel Atkins,WAS,G,2019,33,804,152,0.179,3.7,1.271,20.0,0.22599999999999998,0.277,0.542,0.231,0.922,0.483,4
153,Seimone Augustus,MIN,G-F,2019,12,156,153,0.063,1.6,0.994,22.4,0.235,0.579,0.556,0.0,1.0,0.188,4
154,Rachel Banham,CON,G,2019,29,353,154,0.113,0.3,0.644,18.0,0.157,0.218,0.267,0.194,0.864,0.626,4
155,Alana Beard,LAS,G-F,2019,16,235,155,0.184,1.0,1.021,11.7,0.347,0.551,0.619,0.0,1.0,0.102,3
156,Alex Bentley,ATL,G,2019,29,634,156,0.108,1.6,2.443,26.7,0.13,0.44899999999999995,0.284,0.066,0.656,0.421,5
157,Tiffany Bias,NYL,G,2019,12,105,157,0.25,0.0,0.785,16.3,0.142,0.178,0.5,0.263,0.667,0.679,3
158,Monique Billings,ATL,F,2019,29,553,158,0.417,11.5,0.254,17.3,0.591,0.403,0.764,0.0,1.0,0.007,0
159,DeWanna Bonner,PHO,F-G,2019,34,1120,159,0.331,3.6,1.929,26.7,0.359,0.262,0.464,0.157,0.75,0.379,5
160,Brittany Boyd,NYL,G,2019,33,649,160,0.189,4.7,1.299,18.6,0.6499999999999999,0.222,0.344,0.261,0.286,0.128,1
161,Imani McGee-Stafford,DAL,C,2019,29,346,161,0.128,14.3,0.456,19.9,0.587,0.376,0.66,0.0,1.0,0.037,0
