"Player","Team","Position","G","MP","PER","TSpct","3PAr","FTr","OREBpct","REBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WS_40","Season"
"Courtney Williams","TOT","G",25,351,14.4,0.445,0.163,0.127,9,13,15,1.7,0.7,10.7,24.2,0,0.4,0.4,0.04,2016
"Alex Bentley","CON","G",34,979,11.3,0.467,0.383,0.148,1.1,3.9,14.5,1.6,0.2,9.5,22.8,0.5,0.5,0.9,0.039,2016
"Skylar Diggins-Smith","DAL","G",27,765,14,0.507,0.266,0.455,1.7,3.9,22.1,1.9,0.8,15.3,23.2,0.7,0,0.7,0.037,2016
"Bria Hartley","WAS","G",24,406,11.2,0.514,0.436,0.338,2.7,7,23.6,1.3,0,18.6,21.3,0.2,0.2,0.4,0.037,2016
"Marta Xargay","PHO","G",15,296,9,0.515,0.52,0.227,4.2,5.3,22.2,2.9,0.8,24.7,16.9,0,0.3,0.3,0.037,2016
"Kahleah Copper","WAS","G-F",30,487,10.7,0.509,0.192,0.404,3.2,11.4,8.5,1.6,0.3,15.2,20.5,-0.1,0.5,0.4,0.034,2016
"Plenette Pierson","DAL","F",27,718,12.6,0.484,0.297,0.233,5.4,10,14,1.6,1,12.7,22.7,0.4,0.2,0.6,0.034,2016
"Swin Cash","NYL","F",31,604,9.3,0.438,0.05,0.373,7.2,9.8,11.3,1.9,1.9,18,16.6,-0.5,1,0.5,0.033,2016
"Sandrine Gruda","LAS","F-C",7,37,4.7,0.371,0,0.111,7.3,6.8,7.8,1.4,2.2,9.6,13.2,0,0.1,0,0.029,2016
"Jamie Weisner","WAS","",7,25,9.7,0.607,0.444,0.222,4.9,7.2,15.2,0,0,23.3,23.7,0,0,0,0.029,2016
"Camille Little","CON","F",33,812,9.2,0.467,0.36,0.228,3.5,7.3,12.5,2.4,0.9,16.9,17.6,-0.3,0.8,0.5,0.024,2016
"Dearica Hamby","SAS","F",25,633,11.1,0.49,0.073,0.432,6.6,12,7.5,1.1,1.5,15.2,19.7,-0.2,0.6,0.4,0.023,2016
"Marissa Coleman","IND","G-F",32,781,9.9,0.471,0.5,0.346,3.7,8.7,13.1,1.9,1,16.5,19.7,-0.3,0.8,0.4,0.022,2016
"Clarissa Dos Santos","CHI","C",20,187,9.2,0.42,0.017,0.339,12,13.9,6.7,1.4,1.8,12.9,18.2,0,0.1,0.1,0.021,2016
"Jenna O'Hea","SEA","F",22,252,8.3,0.476,0.576,0.152,4.2,6.9,12,1.7,0.9,17.6,15.8,-0.1,0.2,0.1,0.018,2016
"Odyssey Sims","DAL","G",34,1074,12.5,0.479,0.346,0.335,2,4.7,22.4,1.8,0.5,14.8,23.4,0.5,0,0.5,0.018,2016
"Ivory Latta","WAS","G",22,458,10,0.491,0.633,0.265,2.4,4.9,16.2,0.9,0.2,14.3,21.8,0.1,0.1,0.2,0.015,2016
"Kaleena Mosqueda-Lewis","SEA","F",32,395,9,0.525,0.656,0.119,2.6,4.1,11.5,0.7,0.4,14.1,21.9,0,0.1,0.1,0.015,2016
